Code Designation,Spark Energy (J),Detonation Velocity (km/s),Drop Energy (J),Min NMR Shift (ppm),Max NMR Shift (ppm)
"1,3-DNB",3.15,'-,'-,118.2,147.8
"1,4-DNB",18.38,'-,'-,125.0,150.7
TNB,6.31,'-,24.52,123.8,148.3
HNB,5.03,'-,18.64,125.2,148.7
NONA,16.44,'-,9.10,123.5,149.5
TPT,10.61,'-,'-,125.3,170.2
"1,5-DNN",11.20,'-,'-,125.5,148.2
"1,8-DNN",13.99,'-,'-,116.1,145.7
TNN,10.97,'-,'-,117.4,150.6
TENN,8.26,'-,'-,117.9,146.9
BTX,6.50,'-,'-,122.9,148.7
TNT,6.85,7.02,39.24,15.1,150.9
TNX,11.10,6.71,10.46,13.9,148.5
TNMs,8.98,6.20,20.45,12.6,149.5
TNA,'-,7.04,'-,124.8,151.0
TNBA,'-,6.96,26.82,125.2,147.8
PA,'-,7.57,'-,125.4,160.2
TNR,'-,7.71,10.54,125.7,159.7
PAM,6.85,7.50,43.40,128.1,143.6
DATB,10.97,7.71,78.48,122.0,145.9
TATB,17.75,7.95,120.17,114.3,151.6
DPA,5.02,7.20,11.77,124.4,142.0
HNO,14.58,7.34,14.22,125.0,157.1
TMPM,6.84,6.99,'-,15.0,162.4
PYX,8.90,7.48,15.44,123.7,148.5
TNPTD,5.78,'-,'-,124.0,141.0
TENPO,5.12,'-,'-,114.3,163.4
DIPS,2.56,7.16,7.45,124.4,147.8
DMDIPS,8.57,6.70,'-,15.1,151.2
DIPSO,10.54,6.77,8.44,121.1,148.5
DPM,4.10,7.14,'-,40.0,150.5
DPE,3.89,7.13,27.98,27.1,150.9
BITNT,4.28,7.10,33.14,15.4,151.2
HNS,6.62,7.27,11.50,123.4,149.6
